id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21695713,"Amazing Host, Amazing place, Amazing time in QC",109266923,Ron,,Neufchâtel-Est/Lebourgneuf,46.84429,-71.32081,Private room,85,2,35,2019-09-02,0.92,1,363
21701957,CLOSE TO OLD QUEBEC - AC & PARKING SPOT,157993360,Thomas,,Maizerets,46.84005,-71.22039,Entire home/apt,180,2,100,2020-03-09,2.99,1,285
21754472,Vous êtes le bienvenu chez MaLia #1=),84157850,Lia,,Saint-Louis,46.77465,-71.29464,Private room,28,30,83,2020-03-08,2.16,2,49
21851814,"Énorme 3 CHAMBRES Familiale, stationnement int.",96692488,Simon,,Neufchâtel-Est/Lebourgneuf,46.84091,-71.32175,Entire home/apt,90,30,1,2019-06-28,0.05,14,88
21859699,SPACIOUS LUXURY PENTHOUSE - DOWNTOWN QUÉBEC CITY,96692488,Simon,,Montcalm,46.80518,-71.2305,Entire home/apt,165,365,6,2018-08-19,0.16,14,88
21860913,Vieux-port de Qc :fraîchement rénové avec terrasse,47064372,Patrick,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81585,-71.20946,Entire home/apt,82,365,101,2020-02-10,2.63,1,0
21864500,Grand appartement lumineux à la déco vintage,31221546,Julia,,Cité Universitaire,46.78792,-71.26536,Entire home/apt,175,2,9,2019-07-01,0.24,2,0
21889758,"Magnifique Condo ZEN, 3 1/2, Piscine, BBQ urbain",96692488,Simon,,Neufchâtel-Est/Lebourgneuf,46.83818,-71.32558,Entire home/apt,71,30,4,2020-08-31,0.19,14,177
21890292,Magnifique condo 4 1/2 - QUÉBEC,96692488,Simon,,Neufchâtel-Est/Lebourgneuf,46.84287,-71.31073,Entire home/apt,93,30,1,2020-03-05,0.09,14,177
21896266,Le SHACK SPA/ HOT TUB (10 min du Vieux Québec),116281322,Rick,,L'Aéroport,46.81874,-71.36443,Entire home/apt,75,1,102,2021-01-13,2.68,1,93
21972008,Condo de prestige - Centre ville Québec,96692488,Simon,,Montcalm,46.80064,-71.22205,Entire home/apt,165,365,7,2018-09-19,0.18,14,173
21983074,The Noovo Loft | St-Roch | 2 pers,27326825,François,,Saint-Roch,46.81354,-71.2281,Entire home/apt,42,2,149,2021-01-15,3.93,26,250
21993047,1 - Chambre à 10 min de l'aéroport,160589618,Rollande,,L'Aéroport,46.77276,-71.38277,Private room,45,1,59,2020-09-28,1.56,2,365
21993580,2- Chambre à 10 min de l'aéroport,160589618,Rollande,,L'Aéroport,46.77223,-71.3817,Private room,45,1,38,2020-02-22,1.00,2,365
22036736,Bienvenue chez vous!,160934198,Maxime,,Saint-Jean-Baptiste,46.8113,-71.21695,Entire home/apt,171,2,90,2020-03-17,2.34,1,0
22050494,Nice room in the center of Ste-Foy,161047971,Martina,,Cité Universitaire,46.77356,-71.304,Private room,38,1,81,2021-01-18,2.13,1,365
22064506,"Maison entière, Jacuzzi, parking, 15 min.Vieux Qc",140231168,Josee,,Quartier 5-1,46.89923,-71.20191,Entire home/apt,152,2,47,2019-11-17,1.27,1,159
22099102,Le rempart,161438774,Samah,,Montcalm,46.80147,-71.24302,Entire home/apt,100,5,3,2019-05-22,0.08,1,0
22099392,2 et demi à proximité de la nature et de la ville,161353544,Claudine,,Lac-Saint-Charles,46.91342,-71.36715,Entire home/apt,80,1,185,2021-02-08,5.11,1,361
22172197,"7 Minutes by Car from Old Quebec,Smart TV,Parking",18060666,Jack,,Vieux-Moulin,46.84977,-71.21214,Entire home/apt,97,2,57,2020-02-22,1.50,3,225
22192601,"QUÉBEC appart 2 chambres  U.Laval, Aquarium, Ponts",162154969,Daniele,,Saint-Louis,46.76055,-71.27868,Entire home/apt,115,2,13,2019-09-23,0.42,1,63
22249803,Brand new 2-Story Loft Downtown Quebec City,36456123,Stephane,,Saint-Roch,46.81503,-71.22442,Entire home/apt,63,2,166,2020-03-13,4.49,1,40
22282222,Condo in Downtown Quebec close to everything,18813971,Andrée-Anne,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81541,-71.21484,Entire home/apt,89,2,39,2020-02-19,1.02,1,0
22307220,Artist's Loft next to Château Frontenac,163072058,Francisco,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8118,-71.20607,Entire home/apt,187,1,248,2020-09-20,6.52,4,62
